Date,Tweet
5/27/2022 0:50,#Medicalintuitive #healer @CSCarrigan interviews @TJRicks_TSP about how #racism affects your health:… https://t.co/d6FzhkqHvt
5/27/2022 0:50,#Medicalintuitive #healer @CSCarrigan interviews @TJRicks_TSP about how #racism affects your health:… https://t.co/L0sFxINWJj
5/27/2022 0:50,#Medicalintuitive #healer @CSCarrigan interviews @TJRicks_TSP about how #racism affects your health:… https://t.co/FdJiGymvlV
5/27/2022 0:48,"Something to think about: Police stopped good but failed to stop evil, same way they stop black people but let whit… https://t.co/dq05qmEmrk"
5/27/2022 0:46,"@donwinslow Poor Latino neighbourhood, why bother rushing? #racism"
5/27/2022 0:46,"RT @npquarterly: In response to white supremacist terror, anti-racist whites must generate horror not only at mass shootings, but at all th…"
5/27/2022 0:44,"The #LNP love putting divisive #bullies in charge.
#Dutton #Morrison 
Here @MehreenFaruqi shows why it's harmful.… https://t.co/6dY0ZIfTJd"
5/27/2022 0:44,Full story https://t.co/QTWSek1tGp 🟪🟪#conservative #domesticterrorism #donaldtrump #equality #hood #joebiden… https://t.co/G3DI67Irpo
5/27/2022 0:43,RT @SolNataMD: Information fatigue is real. The brain can only handle so much before it becomes numb 👉🏻#Covid #LongCovid #War #RoeVWade #Wo…
5/27/2022 0:42,I will continue to expose this racially motivated system. Fire all white politicians. The police need to be investi… https://t.co/BGY12dPY1L
5/27/2022 0:37,"So, when the next in the endless series of mass shootings happens, as it is certain to, our national attention goes… https://t.co/CCs5k5yxMg"
5/27/2022 0:33,RT @DiversityMusing: What we think racism looks like in the hiring process... and what it actually looks like. Racism occurs at each decisi…
5/27/2022 0:32,"will #legalization take effect 4 #minorities that want 2 grow a plant in their own home, or is it going primarily 2… https://t.co/goXyORcw8i"
5/27/2022 0:32,"TRUTH! #ThursdayThoughts #racism #polarization
 https://t.co/fV00D7tVJI"
5/27/2022 0:25,"#repost @iamamazinglucas 

#bullying #racism #schoolshootings #uvaldetexas #uvaldeschoolshooting #jimcrow racialine… https://t.co/Hc0tyxai2D"
5/27/2022 0:24,#NDIS appeals are up by 244% from same time last year due to slashed funding. Coalition has appointed RW Liberals t… https://t.co/5nzdB5cRi4
5/27/2022 0:24,"#Swastikas at #elite #Piedmont #HS: Piedmont High, a relatively small public school in the affluent town, surrounde… https://t.co/7yhCbeo5HF"
